Epoch,Loss,Accuracy
1,2.6539125442504883,0.287109375
2,1.9966566562652588,0.4296875
3,1.7585725784301758,0.498046875
4,1.6094369888305664,0.525390625
5,1.5283782482147217,0.544921875
6,1.4546844959259033,0.5615234375
7,1.4085261821746826,0.580078125
8,1.3551805019378662,0.583984375
9,1.3305001258850098,0.58984375
10,1.2768487930297852,0.60546875
11,1.248983383178711,0.603515625
12,1.1941359043121338,0.6328125
13,1.1755574941635132,0.63671875
14,1.1380146741867065,0.646484375
15,1.1161210536956787,0.6455078125
16,1.0618515014648438,0.671875
17,1.046645164489746,0.6708984375
18,1.0142384767532349,0.673828125
19,0.9789845943450928,0.6796875
20,0.9485260844230652,0.6884765625
21,0.9313341975212097,0.7060546875
22,0.9325332641601562,0.701171875
23,0.8984659910202026,0.697265625
24,0.8536388874053955,0.724609375
25,0.8425697684288025,0.720703125
26,0.8370870351791382,0.728515625
27,0.8202568888664246,0.7373046875
28,0.7761298418045044,0.748046875
29,0.7812880277633667,0.7509765625
30,0.7143017053604126,0.7734375
31,0.7077291011810303,0.7724609375
32,0.6795980930328369,0.787109375
33,0.6666154861450195,0.775390625
34,0.674891471862793,0.7841796875
35,0.6422778367996216,0.78515625
36,0.6367600560188293,0.7861328125
37,0.586693286895752,0.8125
38,0.5886465311050415,0.80859375
39,0.5878685712814331,0.814453125
40,0.5286966562271118,0.8173828125
41,0.5424168109893799,0.8173828125
42,0.5196633338928223,0.83203125
43,0.5003412365913391,0.8408203125
44,0.49368125200271606,0.83203125
45,0.4925050139427185,0.8232421875
46,0.47214680910110474,0.83984375
47,0.4537113308906555,0.84765625
48,0.4618363678455353,0.8408203125
49,0.45091360807418823,0.84375
50,0.43196943402290344,0.8525390625
51,0.4139764904975891,0.8671875
52,0.4110577702522278,0.8603515625
53,0.4035230278968811,0.8662109375
54,0.42678016424179077,0.8505859375
55,0.35992372035980225,0.88671875
56,0.40005171298980713,0.873046875
57,0.37832579016685486,0.8701171875
58,0.3504953384399414,0.876953125
59,0.3761749863624573,0.8818359375
60,0.38512787222862244,0.8759765625
61,0.35529130697250366,0.8798828125
62,0.3429224491119385,0.888671875
63,0.36466506123542786,0.873046875
64,0.3205825686454773,0.88671875
65,0.3137815296649933,0.904296875
66,0.3151678144931793,0.8994140625
67,0.3029557168483734,0.8955078125
68,0.33108967542648315,0.8974609375
69,0.30724889039993286,0.896484375
70,0.28850165009498596,0.90234375
71,0.2977193593978882,0.9052734375
72,0.2985338568687439,0.9013671875
73,0.28501802682876587,0.900390625
74,0.2728434205055237,0.9091796875
75,0.2856298089027405,0.90234375
76,0.2702912986278534,0.90625
77,0.2995724081993103,0.90625
78,0.2537163496017456,0.9130859375
79,0.2971324920654297,0.8974609375
80,0.2628593146800995,0.9130859375
81,0.26789984107017517,0.9140625
82,0.2549777925014496,0.9189453125
83,0.22915981709957123,0.9169921875
84,0.2420109212398529,0.91796875
85,0.23693431913852692,0.9267578125
86,0.23504453897476196,0.9267578125
87,0.24435922503471375,0.9140625
88,0.23493237793445587,0.92578125
89,0.2265387922525406,0.9287109375
90,0.2616071105003357,0.9150390625
91,0.25750625133514404,0.916015625
92,0.24892276525497437,0.921875
93,0.22500306367874146,0.9248046875
94,0.22749264538288116,0.9169921875
95,0.24897322058677673,0.91015625
96,0.21839886903762817,0.92578125
97,0.22919586300849915,0.923828125
98,0.21280787885189056,0.927734375
99,0.22520481050014496,0.919921875
100,0.20749756693840027,0.9267578125
